"treatKey","cowKey","treatDate","treatType","VF","reason","diseaseKey","comment","Cost","WitholdingPeriod"
"453","173","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"454","173","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"457","174","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"458","174","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"459","175","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"460","175","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"461","175","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"464","176","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"465","176","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"466","176","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"469","176","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"472","177","1993-05-22 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"473","177","1993-05-25 00:00:00","T_ANTB","FARMER","PENSA","","","",""
"474","177","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"475","177","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"476","177","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"477","177","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"478","177","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"481","178","1993-03-29 00:00:00","T_ANTB","FARMER","PESSAR","","","",""
"482","178","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"483","178","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"484","178","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"485","178","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"486","178","1992-03-10 00:00:00","T_META","FARMER","CALCUM","","3 cal-mag","",""
"487","179","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"488","179","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"489","179","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"490","180","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"491","180","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"492","180","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"493","181","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"494","181","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"497","182","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"498","182","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"499","183","1993-04-02 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"500","183","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"501","183","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"502","183","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"503","183","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"504","183","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"505","183","1991-12-02 00:00:00","T_INTR","FARMER","CLOXAG","","","",""
"506","183","1991-12-11 00:00:00","T_INTR","FARMER","CLOXAG","","","",""
"507","184","1993-06-22 00:00:00","T_HORM","VET","PROSTA","","","",""
"508","184","1993-06-26 00:00:00","T_HORM","VET","PROSTA","","","",""
"509","184","1993-06-29 00:00:00","T_ANTB","FARMER","PENSA","","Mylipen","",""
"510","184","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"511","184","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"512","184","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"513","185","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"514","185","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"515","185","1994-02-01 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"516","185","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"522","186","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"523","186","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"524","186","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"525","186","1992-04-01 00:00:00","T_ANTB","FARMER","PENSA","","Mylipen","",""
"526","186","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"530","187","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"531","187","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"532","187","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"533","187","1993-03-24 00:00:00","T_CLVI","FARMER","F IND","","","",""
"542","188","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"543","188","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"544","188","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"545","188","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"546","188","1993-01-11 00:00:00","T_ANTB","FARMER","OXYTET","","Engemycin","",""
"547","189","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"548","189","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"549","189","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"552","189","1992-03-25 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"553","189","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"554","189","1992-08-29 00:00:00","T_INTR","FARMER","MASTAL","","","",""
"555","189","1992-10-14 00:00:00","T_ANTB","FARMER","PENSA","","Mylipen","",""
"556","189","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"557","190","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"558","190","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"559","190","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"560","190","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"564","191","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"565","191","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"566","191","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"567","191","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"570","192","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"571","192","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"572","193","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"573","193","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"574","194","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"575","194","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"576","195","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"577","195","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"578","195","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"579","195","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"581","196","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"582","196","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"583","196","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"587","197","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"588","197","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"589","197","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"590","198","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"591","198","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"596","199","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"597","199","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"598","199","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"599","199","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"600","200","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"601","200","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"602","200","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"605","201","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"606","201","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"609","201","1992-05-19 00:00:00","TTRACE","","IODINE","","4ml","",""
"610","202","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"611","202","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"613","203","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"614","203","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"616","204","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"617","204","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"618","204","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"619","204","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"620","205","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
