"LifetimeID","Name","Breed","DamLifetimeID","SireLifetimeID","BWRel","FatRel","ProteinRel","MilkRel","WeightRel","SurvivalRel","BW","FatBV","ProteinBV","MilkBV","WeightBV","SurvivalBV","DateBWUpdated","FirstDateUsed","LastDateUsed"
"94205","OAKENBOUND US FOREST-ET       ","","","","84.6000","","","","","","97.0000","","","","","","1998-04-03 00:00:00","1997-11-10 00:00:00","1998-10-31 00:00:00"
"942302","","","","","","","","","","","","","","","","","","1998-07-20 00:00:00","1998-07-20 00:00:00"
"94241","BUCKLIN GANNON HOBO           ","","","","85.6000","","","","","","86.2000","","","","","","1998-04-03 00:00:00","1997-10-29 00:00:00","1997-11-29 00:00:00"
"94253","","","","","","","","","","","","","","","","","","1998-06-21 00:00:00","1998-11-17 00:00:00"
"94262","","","","","","","","","","","","","","","","","","1998-07-20 00:00:00","1998-07-20 00:00:00"
"94288","","","","","","","","","","","","","","","","","","1998-06-01 00:00:00","1998-11-11 00:00:00"
"94302","","","","","","","","","","","","","","","","","","1998-07-07 00:00:00","1998-07-08 00:00:00"
"94304","","","","","","","","","","","","","","","","","","1998-10-10 00:00:00","1998-11-10 00:00:00"
"95323","","","","","","","","","","","","","","","","","","1998-10-23 00:00:00","1998-11-13 00:00:00"
"FGVL-91-3","","","","","57.3000","","","","","","11.6000","","","","","","1998-04-03 00:00:00","",""
"Gelbvieh","","","","","","","","","","","","","","","","","","1998-06-01 00:00:00","1998-07-20 00:00:00"
