psmKey,cowKey,psmCalvDate,psmDate,comment
386,173,30/03/92,1/06/92,
387,173,,4/06/91,
391,174,,1/06/93,
394,175,6/04/93,1/06/93,
395,175,,1/06/92,
397,176,19/03/93,1/06/93,
398,176,10/04/92,1/06/92,
399,176,19/03/91,1/06/91,
401,177,18/05/93,1/06/93,
402,177,26/03/92,1/06/92,
403,177,15/03/91,1/06/91,
406,178,23/03/93,1/06/93,
407,178,11/03/92,1/06/92,
408,178,15/03/91,1/06/91,
410,179,27/03/93,1/06/93,
411,179,,1/06/92,
414,180,4/04/93,1/06/93,
415,180,,1/06/92,
418,181,,1/06/93,
421,182,,1/06/93,
423,183,10/03/93,1/06/93,
424,183,22/03/92,1/06/92,
425,183,,1/06/91,
427,184,8/05/93,1/06/93,
428,184,12/03/92,1/06/92,
429,184,17/03/91,1/06/91,
431,185,14/03/93,1/06/93,
432,185,16/03/92,1/06/92,
433,185,20/03/91,1/06/91,
436,186,3/04/93,1/06/93,
437,186,9/03/92,1/06/92,
438,186,20/03/91,1/06/91,
441,187,17/04/93,1/06/93,
442,187,9/03/92,1/06/92,
443,187,24/03/91,1/06/91,
447,188,17/04/93,1/06/93,
448,188,22/03/92,1/06/92,
450,189,21/03/93,1/06/93,
451,189,24/03/92,1/06/92,
452,189,21/04/91,1/06/91,
453,190,26/03/93,1/06/93,
454,190,8/03/92,1/06/92,
455,190,4/03/91,1/06/91,
459,191,16/03/93,1/06/93,
460,191,30/03/92,1/06/92,
461,191,,4/06/91,
464,192,25/03/93,1/06/93,
465,192,,1/06/92,
468,193,,1/06/93,
471,194,,1/06/93,
474,195,5/04/93,1/06/93,
475,195,19/03/92,1/06/92,
478,196,11/03/93,1/06/93,
479,196,,1/06/92,
482,197,20/03/93,1/06/93,
483,197,24/04/92,1/06/92,
485,198,,1/06/93,
488,199,10/03/93,1/06/93,
489,199,11/03/92,1/06/92,
490,199,,4/06/91,
493,200,17/03/93,1/06/93,
494,200,2/05/92,1/06/92,
495,200,,4/06/91,
498,201,18/03/93,1/06/93,
499,201,26/09/91,1/06/92,
502,202,,1/06/93,
505,203,,1/06/93,
508,204,18/03/93,1/06/93,
509,204,24/03/92,1/06/92,
512,205,,1/06/93,
