ServKey,CowKey,servDate,servType,Sire,Technician,Batch,comment,HeatObservedBy,HeatDetectionMethod,HeatDetectionCertainty,HoursSinceObservedHeat,SemenType,SemenStorage,SemenUnitCost,TimeOfAI,SplitStraw,DateHeatDetected
294,115,9/06/93,AI,,DCBA,,,,,,,,,,,,
295,115,30/06/93,AI,88225,DCBA,,,,,,,,,,,,
296,115,23/07/93,NM,,,,,,,,,,,,,,
297,115,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
298,115,28/06/92,AI,87268,DCBA,,,,,,,,,,,,
299,115,15/06/91,AI,85273,,,,,,,,,,,,,
300,116,4/06/93,AI,88241,DCBA,,,,,,,,,,,,
301,116,27/06/93,AI,88269,DCBA,,,,,,,,,,,,
302,116,6/06/92,AI,87224,DCBA,,,,,,,,,,,,
303,116,30/07/92,NM,0,,,,,,,,,,,,,
304,116,13/06/91,AI,85268,DCBA,,,,,,,,,,,,
305,116,30/07/91,NM,,,,,,,,,,,,,,
306,117,19/06/93,AI,,DCBA,,,,,,,,,,,,
307,117,10/07/93,AI,88225,DCBA,,,,,,,,,,,,
308,117,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
309,117,11/06/92,AI,86279,JILL,,,,,,,,,,,,
310,117,12/06/92,AI,87203,FRED,,,,,,,,,,,,
311,117,5/06/91,AI,86279,DCBA,,,,,,,,,,,,
312,117,6/06/91,AI,86202,DCBA,,,,,,,,,,,,
313,118,15/07/92,NM,0,,,,,,,,,,,,,
314,118,14/08/92,NM,0,,,,,,,,,,,,,
315,118,6/06/91,AI,86202,DCBA,,,,,,,,,,,,
316,119,7/06/93,AI,,DCBA,,,,,,,,,,,,
317,119,23/06/93,AI,88241,DCBA,,,,,,,,,,,,
318,119,15/07/93,NM,,,,,,,,,,,,,,
319,119,5/11/93,AI,87224,EDCB,,,,,,,,,,,,
320,119,14/06/92,AI,87203,DCBA,,,,,,,,,,,,
321,119,14/06/91,AI,85273,,,,,,,,,,,,,
322,119,8/07/91,AI,86279,DDVB,,,,,,,,,,,,
323,120,14/06/93,AI,88225,DCBA,,,,,,,,,,,,
324,120,26/07/93,NM,,,,,,,,,,,,,,
325,120,2/06/92,AI,87208,DCBA,,,,,,,,,,,,
326,120,4/07/92,AI,87268,DCBA,,,,,,,,,,,,
327,120,8/06/91,AI,86279,,,,,,,,,,,,,
328,120,28/06/91,AI,85203,DCBA,,,,,,,,,,,,
329,120,23/07/91,NM,,,,,,,,,,,,,,
330,121,24/06/92,AI,87224,DCBA,,,,,,,,,,,,
331,121,18/06/91,AI,83283,DCBA,,,,,,,,,,,,
332,121,14/07/91,NM,,,,,,,,,,,,,,
333,121,25/08/91,NM,,,,,,,,,,,,,,
334,122,9/06/93,AI,87203,DCBA,,,,,,,,,,,,
335,122,25/06/92,AI,87224,DCBA,,,,,,,,,,,,
336,122,20/06/91,AI,85273,DCBA,,,,,,,,,,,,
337,123,27/06/93,AI,88269,DCBA,,,,,,,,,,,,
338,123,17/07/93,NM,,,,,,,,,,,,,,
339,123,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
340,123,3/06/92,AI,87203,DCBA,,,,,,,,,,,,
