CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,ObservedFM,AbortionCause,CalvingEase
170,119,28/03/93,NORMAL,,0,,,,,
171,119,6/04/92,NORMAL,,0,,,,,
172,119,7/04/91,NORMAL,,0,,,,,
173,120,9/05/93,NORMAL,,0,,,,,
174,120,26/04/92,NORMAL,,0,,,,,
175,120,20/03/91,INDUCE,,0,,,,,
176,121,7/04/93,NORMAL,,0,,,,,
177,121,25/03/92,INDUCE,,0,,,,,
178,121,21/04/91,NORMAL,,0,,,,,
179,122,9/04/93,NORMAL,,0,,,,,
180,122,21/04/92,NORMAL,,0,,,,,
181,122,9/03/91,NORMAL,,0,,,,,
182,123,6/03/93,NORMAL,,0,,,,,
183,123,4/03/92,NORMAL,,0,,,,,
184,123,1/03/91,NORMAL,,0,,,,,
185,124,15/04/93,INDUCE,,0,,,,,
186,124,30/04/92,NORMAL,,0,,,,,
187,124,13/03/91,NORMAL,,0,,,,,
188,125,15/04/93,NORMAL,,0,,,,,
189,125,3/03/92,NORMAL,,0,,,,,
190,126,13/03/93,NORMAL,,0,,,,,
191,126,9/03/92,NORMAL,,0,,,,,
192,127,22/03/93,NORMAL,,0,,,,,
193,127,31/03/92,NORMAL,,0,,,,,
194,127,20/03/91,INDUCE,,0,,,,,
195,128,14/03/93,NORMAL,,0,,,,,
196,128,9/04/92,NORMAL,,0,,,,,
197,128,21/03/91,NORMAL,,0,,,,,
198,129,17/03/93,NORMAL,,0,,,,,
199,129,4/10/91,NORMAL,,0,,,,,
200,130,27/03/93,NORMAL,,0,,,,,
201,131,1/04/93,NORMAL,,0,,,,,
202,132,25/03/93,NORMAL,,0,,,,,
203,132,5/04/92,NORMAL,,0,,,,,
204,132,21/03/91,NORMAL,,0,,,,,
205,133,6/03/93,NORMAL,MINOR,0,,,,,
206,134,9/03/93,NORMAL,,0,,,,,
207,134,3/03/92,NORMAL,,0,,,,,
208,134,14/03/91,NORMAL,,0,,,,,
209,135,6/05/93,NORMAL,,0,,,,,
210,135,30/03/92,NORMAL,,0,,,,,
211,135,9/03/91,NORMAL,,0,,,,,
212,136,1/05/93,NORMAL,,0,,,,,
213,136,11/03/92,NORMAL,,0,,,,,
214,136,18/04/91,INDUCE,,0,,,,,
215,137,28/04/93,NORMAL,MINOR,0,,,,,
216,137,17/03/92,NORMAL,,0,,,,,
217,137,20/03/91,NORMAL,,0,,,,,
218,138,6/03/93,NORMAL,MINOR,0,,,,,
219,139,27/03/93,NORMAL,,0,,,,,
220,139,28/03/92,NORMAL,,0,,,,,
221,139,19/03/91,NORMAL,,0,,,,,
222,140,5/04/93,NORMAL,,0,,,,,
223,140,25/04/92,NORMAL,,0,,,,,
224,140,25/04/91,NORMAL,,0,,,,,
225,141,20/04/93,NORMAL,,0,,,,,
226,141,24/03/92,NORMAL,,0,,,,,
227,141,1/05/91,NORMAL,,0,,,,,
228,142,13/03/93,NORMAL,,0,,,,,
229,142,1/04/92,NORMAL,,0,,,,,
230,143,20/03/93,NORMAL,,0,,,,,
231,143,6/04/92,NORMAL,,0,,,,,
232,143,19/04/91,NORMAL,,0,,,,,
233,144,28/02/93,NORMAL,,0,,,,,
234,144,22/03/92,NORMAL,,0,,,,,
235,145,28/03/93,NORMAL,,0,,,,,
236,145,7/03/92,NORMAL,,0,,,,,
237,145,3/03/91,NORMAL,,0,,,,,
238,146,12/03/93,NORMAL,,0,,,,,
239,146,10/04/92,NORMAL,,0,,,,,
240,146,1/03/91,NORMAL,,0,,,,,
241,147,14/05/93,NORMAL,,0,,,,,
242,147,5/03/92,NORMAL,,0,,,,,
243,148,5/04/93,NORMAL,,0,,,,,
244,149,12/04/93,NORMAL,,0,,,,,
245,149,7/04/92,NORMAL,,0,,,,,
246,149,18/04/91,NORMAL,,0,,,,,
247,150,5/05/93,NORMAL,,0,,,,,
248,150,19/04/92,NORMAL,,0,,,,,
249,150,5/03/91,NORMAL,,0,,,,,
250,151,17/03/93,NORMAL,,0,,,,,
251,151,26/03/92,INDUCE,,0,,,,,
252,151,29/03/91,NORMAL,,0,,,,,
253,152,11/03/93,NORMAL,,0,,,,,
