"joinKey","cowKey","jsDate","jeDate","joinSire","jsComment","jeComment"
"361","240","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"363","241","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"369","244","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"370","244","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"372","245","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"373","245","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"378","248","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"379","248","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"381","249","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"382","249","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"384","250","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"385","250","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"387","251","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"388","251","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"392","253","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"394","254","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"395","254","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"398","255","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"399","255","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"402","256","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"403","256","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"406","257","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"407","257","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"410","258","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"411","258","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"413","259","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"417","261","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"418","261","1992-07-13 00:00:00","1992-08-24 00:00:00","","",""
"420","262","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"421","262","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"423","263","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"424","263","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"427","264","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"428","264","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"431","265","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"432","265","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"434","266","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"435","266","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"438","267","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"439","267","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"442","268","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"443","268","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"448","270","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"451","271","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"452","271","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"454","272","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"457","273","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"459","274","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"461","275","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"464","276","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"465","277","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
