ExitKey,CowKey,EventDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3
344,344,"03/01/11 00:00:00","SOLD","OTHERC",,
345,345,"05/28/11 00:00:00","DIED","GUTPRO",,
346,346,"02/01/11 00:00:00","SOLD","OTHERC",,
347,347,"05/27/10 00:00:00","DIED","INJURY","OTHERC",
348,348,"02/26/11 00:00:00","CULLED","FTC",,
349,349,"02/01/11 00:00:00","SOLD","OTHERC",,
350,350,"02/01/11 00:00:00","SOLD","OTHERC",,
351,351,"02/01/11 00:00:00","SOLD","OTHERC",,
352,352,"07/29/11 00:00:00","SOLD",,,
353,353,"02/01/11 00:00:00","SOLD","OTHERC",,
354,354,"12/03/10 00:00:00","CULLED",,,
355,355,"09/05/10 00:00:00","CULLED","FTC",,
356,356,"02/01/11 00:00:00","SOLD","OTHERC",,
357,357,"02/01/11 00:00:00","SOLD","OTHERC",,
358,358,"02/01/11 00:00:00","SOLD","OTHERC",,
359,359,"02/26/11 00:00:00","CULLED","FTC",,
360,360,"06/13/10 00:00:00","CULLED","FTC",,
361,361,"02/01/11 00:00:00","SOLD","OTHERC",,
362,362,"02/01/11 00:00:00","SOLD","OTHERC",,
363,363,"03/01/11 00:00:00","SOLD","OTHERC",,
364,364,"07/29/11 00:00:00","SOLD",,,
365,365,"03/01/11 00:00:00","SOLD","OTHERC",,
366,367,"07/29/11 00:00:00","SOLD",,,
367,422,"07/01/11 00:00:00","SOLD","OTHERC",,
368,423,"07/01/11 00:00:00","SOLD","OTHERC",,
369,424,"07/01/11 00:00:00","SOLD","OTHERC",,
370,425,"07/01/11 00:00:00","SOLD","OTHERC",,
371,426,"07/01/11 00:00:00","SOLD","OTHERC",,
372,427,"07/01/11 00:00:00","SOLD","OTHERC",,
373,428,"07/01/11 00:00:00","SOLD","OTHERC",,
374,429,"07/01/11 00:00:00","SOLD","OTHERC",,
375,430,"10/10/11 00:00:00","CULLED","MASTREM",,
376,431,"07/01/11 00:00:00","SOLD","OTHERC",,
377,432,"07/01/11 00:00:00","SOLD","OTHERC",,
378,433,"07/01/11 00:00:00","SOLD","OTHERC",,
379,434,"07/01/11 00:00:00","SOLD","OTHERC",,
380,435,"07/01/11 00:00:00","SOLD","OTHERC",,
381,436,"07/01/11 00:00:00","SOLD","OTHERC",,
382,437,"10/10/11 00:00:00","CULLED","MASTREM",,
383,438,"07/01/11 00:00:00","SOLD","OTHERC",,
384,439,"07/01/11 00:00:00","SOLD","OTHERC",,
