joinKey,cowKey,jsDate,jeDate,joinSire,jsComment,jeComment
746,555,"07/12/08 00:00:00","08/27/08 00:00:00",,,
749,557,"07/12/08 00:00:00","08/27/08 00:00:00",,,
750,557,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
754,559,"07/12/08 00:00:00","08/27/08 00:00:00",,,
755,559,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
766,603,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
771,607,"07/12/08 00:00:00","08/27/08 00:00:00",,,
772,607,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
775,608,"07/12/08 00:00:00","08/27/08 00:00:00",,,
776,608,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
780,611,"07/12/08 00:00:00","08/27/08 00:00:00",,,
781,611,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
784,612,"07/12/08 00:00:00","08/27/08 00:00:00",,,
785,612,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
788,613,"07/12/08 00:00:00","08/27/08 00:00:00",,,
791,614,"07/12/08 00:00:00","08/27/08 00:00:00",,,
792,614,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
799,618,"07/12/08 00:00:00","08/27/08 00:00:00",,,
800,618,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
805,620,"07/12/08 00:00:00","08/27/08 00:00:00",,,
806,620,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
809,621,"07/12/08 00:00:00","08/27/08 00:00:00",,,
813,623,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
817,627,"07/12/08 00:00:00","08/27/08 00:00:00",,,
818,627,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
821,628,"07/12/08 00:00:00","08/27/08 00:00:00",,,
822,628,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
828,632,"07/12/08 00:00:00","08/27/08 00:00:00",,,
829,632,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
832,633,"07/12/08 00:00:00","08/27/08 00:00:00",,,
833,633,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
836,634,"07/12/08 00:00:00","08/27/08 00:00:00",,,
837,634,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
840,636,"07/12/08 00:00:00","08/27/08 00:00:00",,,
845,646,"07/12/08 00:00:00","08/27/08 00:00:00",,,
848,651,"07/12/08 00:00:00","08/27/08 00:00:00",,,
851,654,"07/12/08 00:00:00","08/27/08 00:00:00",,,
852,654,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
855,656,"07/12/08 00:00:00","08/27/08 00:00:00",,,
858,660,"07/12/08 00:00:00","08/27/08 00:00:00",,,
864,720,"07/12/08 00:00:00","08/27/08 00:00:00",,,
867,721,"07/12/08 00:00:00","08/27/08 00:00:00",,,
868,721,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
872,723,"07/12/08 00:00:00","08/27/08 00:00:00",,,
873,723,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
