CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,ObservedFM,AbortionCause,CalvingEase
445,345,29/07/1998,,MAJOR,0,,,,,
446,355,6/08/1998,,MINOR,0,,,,,
447,360,9/08/1998,,MINOR,0,,,,,
448,50,7/08/1998,,MINOR,0,,,,,
450,375,7/08/1998,,NONE,0,,,,,
451,378,7/08/1998,,NONE,0,,,,,
452,387,4/08/1998,INDUCE,NONE,0,,,,,
453,392,3/08/1998,INDUCE,NONE,0,,,,,
454,395,6/08/1998,,NONE,0,,,,,
455,399,9/08/1998,INDUCE,NONE,0,,,,,
456,401,11/08/1998,INDUCE,MINOR,0,,,,,
457,404,1/08/1998,INDUCE,NONE,0,,,,,
458,418,29/07/1998,,NONE,0,,,,,
459,419,3/08/1998,INDUCE,NONE,0,,,,,
460,431,2/08/1998,,NONE,0,,,,,
461,433,28/07/1998,,NONE,0,,,,,
462,440,10/08/1998,,NONE,0,,,,,
463,441,2/08/1998,,NONE,0,,,,,
464,443,2/08/1998,INDUCE,NONE,0,,,,,
465,444,2/08/1998,INDUCE,NONE,0,,,,,
466,51,3/08/1998,,NONE,0,,,,,
467,453,3/08/1998,INDUCE,MINOR,0,,,,,
468,455,1/08/1998,INDUCE,NONE,0,,,,,
469,456,3/08/1998,,NONE,0,,,,,
470,457,2/08/1998,INDUCE,NONE,0,,,,,
471,459,30/07/1998,INDUCE,NONE,0,,,,,
472,460,4/08/1998,,MINOR,0,,,,,
473,463,13/08/1998,,NONE,0,,,,,
474,464,8/08/1998,INDUCE,MINOR,0,,,,,
475,475,27/07/1998,,NONE,0,,,,,
476,485,1/08/1998,INDUCE,NONE,0,,,,,
477,490,2/08/1998,INDUCE,NONE,0,,,,,
478,491,2/08/1998,INDUCE,NONE,0,,,,,
479,500,4/08/1998,,NONE,0,,,,,
480,503,29/07/1998,,MINOR,0,,,,,
481,504,1/08/1998,INDUCE,NONE,0,,,,,
482,506,2/08/1998,,NONE,0,,,,,
483,17,31/07/1998,,NONE,0,,,,,
484,629,9/08/1998,NORMAL,NONE,0,,,,,
485,515,1/08/1998,INDUCE,MINOR,0,,,,,
486,517,30/07/1998,,MAJOR,0,,,,,
487,522,4/08/1998,,NONE,0,,,,,
488,523,27/07/1998,,NONE,0,,,,,
489,530,1/08/1998,,NONE,0,,,,,
490,531,2/08/1998,INDUCE,NONE,0,,,,,
491,30,30/06/1998,PREM,NONE,0,,,,,
492,52,7/08/1998,,NONE,0,,,,,
493,18,2/08/1998,,NONE,0,,,,,
494,60,5/08/1998,,NONE,0,,,,,
495,66,6/08/1998,,NONE,0,,,,,
496,630,3/09/1997,NORMAL,,0,,,,,
497,631,18/08/1997,NORMAL,,0,,,,,
498,632,5/08/1998,NORMAL,NONE,0,,,,,
499,633,4/08/1997,NORMAL,,0,,,,,
500,634,30/07/1998,NORMAL,NONE,0,,,,,
501,635,8/09/1997,NORMAL,,0,,,,,
502,636,12/08/1998,NORMAL,NONE,0,,,,,
503,637,6/08/1998,NORMAL,NONE,0,,,,,
