vreKey,cowKey,vreDate,reason,diagnosis,extra,vetKey,comment
4930,7936,23/06/16,PREGD,PREG,LASTSERVICE,,
4931,7937,23/06/16,PREGD,PREG,LASTSERVICE,,
4932,7939,23/06/16,PREGD,PREG,LASTSERVICE,,
4933,7945,23/06/16,PREGD,PREG,LASTSERVICE,,
4934,7946,23/06/16,PREGD,PREG,LASTSERVICE,,
4935,7947,23/06/16,PREGD,PREG,LASTSERVICE,,
4936,7949,23/06/16,PREGD,PREG,LASTSERVICE,,
4937,7950,23/06/16,PREGD,PREG,LASTSERVICE,,
4938,7953,23/06/16,PREGD,PREG,LASTSERVICE,,
4939,7955,23/06/16,PREGD,PREG,LASTSERVICE,,
4940,7958,23/06/16,PREGD,PREG,LASTSERVICE,,
4941,7959,23/06/16,PREGD,PREG,LASTSERVICE,,
4942,7961,23/06/16,PREGD,PREG,LASTSERVICE,,
4943,7964,23/06/16,PREGD,PREG,LASTSERVICE,,
4944,7965,23/06/16,PREGD,PREG,LASTSERVICE,,
4945,7967,23/06/16,PREGD,PREG,LASTSERVICE,,
4946,7968,23/06/16,PREGD,PREG,LASTSERVICE,,
4947,7971,23/06/16,PREGD,PREG,LASTSERVICE,,
4948,7972,23/06/16,PREGD,PREG,LASTSERVICE,,
4949,7974,23/06/16,PREGD,PREG,LASTSERVICE,,
4950,7975,23/06/16,PREGD,PREG,LASTSERVICE,,
4951,7976,23/06/16,PREGD,PREG,LASTSERVICE,,
4952,7978,23/06/16,PREGD,PREG,LASTSERVICE,,
4953,7980,23/06/16,PREGD,PREG,LASTSERVICE,,
4954,7985,26/07/16,PREGD,PREG,LASTSERVICE,,
4955,7990,26/07/16,PREGD,PREG,LASTSERVICE,,
4956,8001,20/05/15,PREGD,EMPTY,,,
4957,8002,26/07/16,PREGD,PREG,LASTSERVICE,,
4958,8002,23/09/15,PREGD,PREG,LASTSERVICE,,
4959,8002,21/03/16,PREGD,PREG,LASTSERVICE,,
4960,8003,6/06/15,PREGD,PREG,LASTSERVICE,,
4961,8006,23/06/16,PREGD,PREG,LASTSERVICE,,
4962,8006,24/09/15,PREGD,EMPTY,,,
4963,8006,21/03/16,PREGD,EMPTY,,,
4964,8008,24/09/15,PREGD,EMPTY,,,
4965,8008,21/03/16,PREGD,PREG,LASTSERVICE,,
4966,8009,21/03/16,PREGD,EMPTY,,,
4967,8009,1/06/16,PREGD,PREG,LASTSERVICE,,
4968,8013,24/09/15,PREGD,EMPTY,,,
4969,8013,21/03/16,PREGD,PREG,LASTSERVICE,,
4970,8014,6/02/16,PREGD,PREG,LASTSERVICE,,
4971,8018,24/09/15,PREGD,EMPTY,,,
4972,8018,21/03/16,PREGD,PREG,LASTSERVICE,,
4973,8021,23/06/16,PREGD,PREG,LASTSERVICE,,
4974,8023,23/06/16,PREGD,PREG,LASTSERVICE,,
4975,8024,23/06/16,PREGD,PREG,LASTSERVICE,,
4976,8025,23/06/16,PREGD,PREG,LASTSERVICE,,
4977,8026,23/06/16,PREGD,PREG,LASTSERVICE,,
4978,8027,23/06/16,PREGD,PREG,LASTSERVICE,,
4979,8029,23/06/16,PREGD,PREG,LASTSERVICE,,
4980,8031,23/06/16,PREGD,PREG,LASTSERVICE,,
4981,8032,23/06/16,PREGD,PREG,LASTSERVICE,,
4982,8034,23/06/16,PREGD,PREG,LASTSERVICE,,
4983,8038,23/06/16,PREGD,PREG,LASTSERVICE,,
4984,8042,23/06/16,PREGD,PREG,LASTSERVICE,,
4985,8044,23/06/16,PREGD,PREG,LASTSERVICE,,
4986,8045,23/06/16,PREGD,PREG,LASTSERVICE,,
4987,8046,23/06/16,PREGD,EMPTY,,,
4988,8047,23/06/16,PREGD,PREG,LASTSERVICE,,
4989,8048,23/06/16,PREGD,EMPTY,,,
4990,8049,23/06/16,PREGD,PREG,LASTSERVICE,,
4991,8051,23/06/16,PREGD,PREG,LASTSERVICE,,
4992,8052,23/06/16,PREGD,PREG,LASTSERVICE,,
4993,8055,23/06/16,PREGD,PREG,LASTSERVICE,,
4994,8058,23/06/16,PREGD,PREG,LASTSERVICE,,
4995,8059,23/06/16,PREGD,PREG,LASTSERVICE,,
4996,8060,23/06/16,PREGD,PREG,LASTSERVICE,,
4997,8061,23/06/16,PREGD,PREG,LASTSERVICE,,
4998,8062,23/06/16,PREGD,PREG,LASTSERVICE,,
4999,8064,23/06/16,PREGD,PREG,LASTSERVICE,,
5000,8065,23/06/16,PREGD,PREG,LASTSERVICE,,
5001,8066,23/06/16,PREGD,PREG,LASTSERVICE,,
5002,8067,23/06/16,PREGD,PREG,LASTSERVICE,,
5003,8068,23/06/16,PREGD,PREG,LASTSERVICE,,
5004,8069,23/06/16,PREGD,PREG,LASTSERVICE,,
