doKey,CowKey,doDate,comment,reason
988,2287, 28/06/08,,
989,2288, 28/09/10,,
990,2289, 13/10/10,,
991,2291, 16/01/14,,
992,2293, 27/12/09,,
993,2294, 01/10/10,,
994,2295, 23/12/09,,
995,2296, 03/11/13,,
996,2297, 24/09/10,,
997,2298, 21/07/11,,
998,2299, 27/12/09,,
999,2301, 24/09/09,,
1000,2302, 21/08/10,,
1001,2303, 26/02/10,,
1002,2304, 26/02/14,,
1003,2305, 28/12/09,,
1004,2306, 15/04/13,,
1005,2308, 27/12/09,,
1006,2309, 31/03/09,,
1007,2310, 20/12/12,,
1008,2313, 20/08/15,,
1009,2314, 31/07/09,,
1010,2315, 25/11/12,,
1011,2316, 25/03/10,,
1012,2318, 03/02/15,,
1013,2319, 21/09/11,,
1014,2320, 09/01/10,,
1015,2321, 16/10/08,,
