CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase,LactNo
306,104,2016-09-03,NORMAL,NONE,0,,,,,,,4
307,105,2012-03-22,NORMAL,NONE,0,,,,,,,1
308,105,2015-07-12,NORMAL,NONE,0,,,,,,,2
309,106,2012-03-21,NORMAL,NONE,0,,,,,,,1
310,106,2014-11-22,NORMAL,NONE,0,,,,,,,3
311,106,2016-02-27,NORMAL,NONE,0,,,,,,,4
312,107,2013-03-05,NORMAL,NONE,0,,,,,,,2
313,107,2014-03-29,NORMAL,NONE,0,,,,,,,3
314,107,2015-11-23,NORMAL,NONE,0,,,,,,,4
315,107,2016-11-14,NORMAL,NONE,0,,,,,,,3
316,108,2012-12-03,NORMAL,NONE,0,,,,,,,2
317,108,2014-11-11,NORMAL,NONE,0,,,,,,,4
318,108,2015-11-18,NORMAL,NONE,0,,,,,,,5
319,109,2012-11-06,NORMAL,NONE,0,,,,,,,2
320,109,2014-11-20,NORMAL,NONE,0,,,,,,,4
321,109,2016-03-05,NORMAL,NONE,0,,,,,,,5
322,110,2012-08-31,NORMAL,NONE,0,,,,,,,1
323,110,2014-08-20,NORMAL,NONE,0,,,,,,,3
324,110,2015-09-10,NORMAL,NONE,0,,,,,,,2
325,110,2016-09-11,NORMAL,NONE,0,,,,,,,3
326,111,2013-03-24,NORMAL,NONE,0,,,,,,,2
327,111,2015-07-18,NORMAL,NONE,0,,,,,,,5
328,111,2016-06-11,NORMAL,NONE,0,,,,,,,3
329,112,2013-03-05,NORMAL,NONE,0,,,,,,,2
330,112,2014-09-09,NORMAL,NONE,0,,,,,,,3
331,112,2015-09-12,NORMAL,NONE,0,,,,,,,4
332,112,2016-09-11,NORMAL,NONE,0,,,,,,,3
333,113,2012-11-14,NORMAL,NONE,0,,,,,,,2
334,113,2015-07-15,NORMAL,NONE,0,,,,,,,4
335,113,2016-06-10,NORMAL,NONE,0,,,,,,,3
