ServKey,CowKey,servDate,servType,Sire,Technician
716,1404, 01/04/13,AI,,
717,1412, 18/10/15,AI,,
718,1414, 23/03/16,AI,,
719,1414, 10/06/15,AI,,
720,1415, 18/04/12,AI,,
721,1417, 01/10/14,AI,,
722,1418, 07/01/13,AI,,
723,1419, 01/06/14,AI,,
724,1422, 07/01/13,AI,,
725,1424, 01/04/13,AI,,
726,1425, 22/11/13,AI,,
727,1426, 07/01/13,AI,,
728,1427, 26/07/16,AI,,
729,1427, 01/04/15,AI,,
730,1433, 07/01/13,AI,,
731,1435, 01/04/13,AI,,
732,1437, 07/01/13,AI,,
733,1439, 10/06/15,AI,,
734,1440, 07/01/13,AI,,
735,1441, 07/01/13,AI,,
736,1443, 03/04/13,AI,,
737,1447, 01/04/15,AI,,
738,1448, 01/04/13,AI,,
739,1450, 18/10/15,AI,,
740,1450, 10/06/15,AI,,
741,1451, 07/01/13,AI,,
742,1458, 19/11/12,AI,,
743,1462, 07/01/13,AI,,
744,1466, 31/08/15,AI,,
745,1467, 19/11/12,AI,,
746,1469, 01/04/15,AI,,
747,1470, 07/01/13,AI,,
748,1471, 01/04/13,AI,,
749,1473, 01/10/12,AI,,
750,1474, 07/01/13,AI,,
751,1477, 07/01/13,AI,,
752,1478, 10/06/15,AI,,
753,1479, 01/04/13,AI,,
754,1481, 26/07/16,AI,,
755,1481, 01/01/16,AI,,
756,1482, 01/04/13,AI,,
757,1483, 24/09/14,AI,,
758,1484, 01/04/13,AI,,
759,1485, 01/01/16,AI,,
760,1486, 26/07/16,AI,,
761,1486, 01/01/16,AI,,
762,1487, 01/04/13,AI,,
763,1489, 01/06/12,AI,,
764,1491, 01/04/12,AI,,
765,1493, 01/06/12,AI,,
766,1494, 01/04/13,AI,,
767,1495, 01/10/14,AI,,
768,1496, 24/07/15,AI,,
769,1498, 24/07/15,AI,,
770,1499, 15/01/13,AI,,
771,1500, 01/04/15,AI,,
772,1501, 01/04/13,AI,,
773,1503, 15/01/13,AI,,
774,1504, 08/07/15,AI,,
775,1504, 04/09/15,AI,,
776,1505, 10/06/15,AI,,
777,1506, 01/01/16,AI,,
778,1507, 19/11/12,AI,,
779,1509, 01/01/16,AI,,
780,1510, 23/03/16,AI,,
781,1510, 10/06/15,AI,,
782,1512, 03/04/13,AI,,
783,1514, 23/03/16,AI,,
784,1514, 10/06/15,AI,,
785,1515, 01/01/15,AI,,
786,1518, 10/06/15,AI,,
787,1519, 01/06/12,AI,,
788,1520, 07/01/13,AI,,
789,1527, 01/04/13,AI,,
790,1529, 01/01/16,AI,,
791,1534, 01/04/15,AI,,
792,1535, 10/06/15,AI,,
793,1538, 07/01/13,AI,,
794,1540, 01/06/12,AI,,
795,1546, 10/06/15,AI,,
796,1548, 01/06/12,AI,,
797,1552, 01/06/12,AI,,
798,1562, 01/04/13,AI,,
799,1564, 23/03/16,AI,,
800,1564, 10/06/15,AI,,
801,1568, 01/04/13,AI,,
802,1570, 01/01/15,AI,,
803,1577, 11/09/13,AI,,
804,1578, 10/06/15,AI,,
805,1579, 01/01/16,AI,,
806,1586, 01/06/12,AI,,
807,1587, 03/04/13,AI,,
808,1588, 01/06/12,AI,,
809,1589, 24/07/15,AI,,
810,1591, 07/01/13,AI,,
811,1593, 26/07/16,AI,,
812,1593, 01/04/15,AI,,
813,1596, 24/09/15,AI,,
814,1596, 10/06/15,AI,,
815,1599, 07/01/13,AI,,
816,1600, 26/07/16,AI,,
817,1600, 10/06/15,AI,,
818,1602, 22/11/13,AI,,
819,1605, 10/06/15,AI,,
820,1607, 01/04/15,AI,,
821,1609, 01/04/13,AI,,
822,1610, 01/04/13,AI,,
823,1612, 01/06/12,AI,,
824,1615, 24/07/15,AI,,
825,1616, 24/07/15,AI,,
826,1616, 23/03/16,AI,,
827,1617, 08/07/15,AI,,
828,1617, 04/09/15,AI,,
829,1618, 07/01/13,AI,,
830,1621, 01/04/15,AI,,
831,1622, 27/08/15,AI,,
832,1624, 01/06/12,AI,,
833,1626, 10/06/15,AI,,
834,1629, 01/06/12,AI,,
835,1631, 08/07/15,AI,,
836,1631, 04/09/15,AI,,
837,1634, 01/01/16,AI,,
838,1637, 01/06/12,AI,,
839,1638, 01/01/16,AI,,
840,1641, 01/06/12,AI,,
841,1643, 01/04/15,AI,,
842,1644, 15/11/12,AI,,
843,1645, 01/06/12,AI,,
844,1648, 01/10/12,AI,,
845,1649, 07/01/13,AI,,
