ProdKey,CowKey,testDate,LTDDate,HTFatPC,HTProtPC,HTLactPC,HTLitreAM,HTLitrePM,HTLitreTot,LtdLitre,LtdFatKg,LtdProtKg,LtdLactKg,StdLacDays,SCC,LW,LWRel,PayPW,PayPWRel,AbCode,Assessed,Withheld,comment,LtdDays,MilkPI,FatPI,ProteinPI,LtdVol305,LtdVolEx,LtdFatKg305,LtdFatKgEx,LtdProtKg305,LtdProtKgEx,LtdLactKg305,LtdLactKgEx,DL_LTDDate,DL_LtdLitre,DL_LtdFatKg,DL_LtdProtKg,DL_LtdLactKg,DL_LtdDays,BSTFlag
83,6180,20/01/2016,20/01/2016,,,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
84,6181,20/01/2016,20/01/2016,,,,,,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
85,6182,20/01/2016,20/01/2016,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
86,6183,20/01/2016,20/01/2016,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
87,6184,20/01/2016,20/01/2016,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
88,6185,20/01/2016,20/01/2016,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
89,6186,20/01/2016,20/01/2016,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
90,6191,20/01/2016,20/01/2016,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
91,6195,20/01/2016,20/01/2016,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
92,6197,20/01/2016,20/01/2016,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
93,6200,20/01/2016,20/01/2016,,,,,,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
94,6201,20/01/2016,20/01/2016,,,,,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
95,6202,20/01/2016,20/01/2016,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
96,6203,20/01/2016,20/01/2016,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
97,6204,20/01/2016,20/01/2016,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
98,6206,20/01/2016,20/01/2016,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
99,6207,20/01/2016,20/01/2016,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
100,4118,20/01/2016,20/01/2016,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
101,6214,20/01/2016,20/01/2016,,,,,,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
102,4124,20/01/2016,20/01/2016,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
