CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase,LactNo
258,390,7/06/15,NORMAL,NONE,0,,,,,,,5
259,390,5/06/16,NORMAL,NONE,0,,,,,,,6
260,391,24/02/13,NORMAL,NONE,0,,,,,,,2
261,392,5/09/12,NORMAL,NONE,0,,,,,,,2
262,393,6/09/14,NORMAL,NONE,0,,,,,,,2
263,394,24/10/12,NORMAL,NONE,0,,,,,,,2
264,395,10/03/14,NORMAL,NONE,0,,,,,,,3
265,397,25/02/13,NORMAL,NONE,0,,,,,,,2
266,401,5/03/12,NORMAL,NONE,0,,,,,,,2
267,402,22/11/15,NORMAL,NONE,0,,,,,,,6
268,402,15/11/14,NORMAL,NONE,0,,,,,,,5
269,403,11/03/14,NORMAL,NONE,0,,,,,,,4
270,405,5/11/12,NORMAL,NONE,0,,,,,,,2
271,407,14/06/11,NORMAL,NONE,0,,,,,,,1
272,410,11/09/12,NORMAL,NONE,0,,,,,,,2
273,411,9/09/13,NORMAL,NONE,0,,,,,,,3
274,412,8/03/15,NORMAL,NONE,0,,,,,,,4
275,413,8/03/15,NORMAL,NONE,0,,,,,,,4
276,416,25/02/13,NORMAL,NONE,0,,,,,,,2
277,419,5/03/13,NORMAL,NONE,0,,,,,,,3
278,420,9/09/12,NORMAL,NONE,0,,,,,,,2
279,421,8/09/13,NORMAL,NONE,0,,,,,,,3
280,422,7/09/14,NORMAL,NONE,0,,,,,,,4
281,424,10/09/12,NORMAL,NONE,0,,,,,,,2
282,425,14/09/14,NORMAL,NONE,0,,,,,,,4
283,427,7/09/12,NORMAL,NONE,0,,,,,,,2
284,429,10/11/15,NORMAL,NONE,0,,,,,,,6
285,429,1/11/14,NORMAL,NONE,0,,,,,,,5
286,431,7/09/11,NORMAL,NONE,0,,,,,,,1
287,432,9/06/15,NORMAL,NONE,0,,,,,,,3
288,432,8/06/16,NORMAL,NONE,0,,,,,,,4
289,433,22/10/11,NORMAL,NONE,0,,,,,,,1
290,434,28/10/14,NORMAL,NONE,0,,,,,,,4
291,435,18/11/15,NORMAL,NONE,0,,,,,,,4
292,435,4/11/14,NORMAL,NONE,0,,,,,,,3
293,437,8/11/12,NORMAL,NONE,0,,,,,,,2
294,438,27/03/12,NORMAL,NONE,0,,,,,,,2
295,439,8/03/12,NORMAL,NONE,0,,,,,,,2
296,440,27/11/14,NORMAL,NONE,0,,,,,,,4
297,440,9/11/15,NORMAL,NONE,0,,,,,,,5
298,441,2/11/12,NORMAL,NONE,0,,,,,,,2
299,443,15/09/12,NORMAL,NONE,0,,,,,,,2
300,448,29/12/12,NORMAL,NONE,0,,,,,,,3
301,450,1/09/11,NORMAL,NONE,0,,,,,,,1
302,453,10/09/14,NORMAL,NONE,0,,,,,,,4
303,454,13/11/12,NORMAL,NONE,0,,,,,,,2
304,455,14/06/13,NORMAL,NONE,0,,,,,,,3
305,456,25/02/13,NORMAL,NONE,0,,,,,,,2
306,457,12/09/14,NORMAL,NONE,0,,,,,,,4
307,458,12/11/14,NORMAL,NONE,0,,,,,,,5
308,461,14/06/16,NORMAL,NONE,0,,,,,,,6
309,461,9/06/15,NORMAL,NONE,0,,,,,,,5
310,462,30/10/12,NORMAL,NONE,0,,,,,,,2
311,463,29/02/16,NORMAL,NONE,0,,,,,,,4
312,463,15/11/14,NORMAL,NONE,0,,,,,,,3
313,464,18/06/13,NORMAL,NONE,0,,,,,,,4
314,465,4/11/14,NORMAL,NONE,0,,,,,,,4
315,466,14/11/12,NORMAL,NONE,0,,,,,,,2
316,467,15/03/15,NORMAL,NONE,0,,,,,,,4
317,471,20/02/15,NORMAL,NONE,0,,,,,,,3
318,472,1/04/12,NORMAL,NONE,0,,,,,,,2
319,474,5/03/13,NORMAL,NONE,0,,,,,,,3
320,477,12/09/11,NORMAL,NONE,0,,,,,,,1
321,484,25/11/14,NORMAL,NONE,0,,,,,,,3
322,484,10/11/15,NORMAL,NONE,0,,,,,,,4
323,489,22/02/13,NORMAL,NONE,0,,,,,,,2
324,490,18/09/12,NORMAL,NONE,0,,,,,,,2
325,491,17/03/15,NORMAL,NONE,0,,,,,,,5
326,493,22/09/15,NORMAL,NONE,0,,,,,,,5
327,493,4/09/14,NORMAL,NONE,0,,,,,,,4
328,496,11/09/13,NORMAL,NONE,0,,,,,,,3
329,497,14/09/12,NORMAL,NONE,0,,,,,,,2
330,498,15/11/12,NORMAL,NONE,0,,,,,,,2
331,500,14/03/12,NORMAL,NONE,0,,,,,,,1
332,501,4/09/14,NORMAL,NONE,0,,,,,,,4
333,505,7/09/11,NORMAL,NONE,0,,,,,,,1
334,506,9/03/13,NORMAL,NONE,0,,,,,,,2
335,507,7/09/12,NORMAL,NONE,0,,,,,,,2
336,508,4/10/13,NORMAL,NONE,0,,,,,,,4
337,509,23/01/12,NORMAL,NONE,0,,,,,,,1
338,511,6/11/12,NORMAL,NONE,0,,,,,,,2
339,512,28/10/14,NORMAL,NONE,0,,,,,,,4
340,512,10/11/15,NORMAL,NONE,0,,,,,,,5
341,513,18/11/15,NORMAL,NONE,0,,,,,,,5
342,513,10/11/14,NORMAL,NONE,0,,,,,,,4
343,514,17/06/13,NORMAL,NONE,0,,,,,,,4
344,515,11/09/12,NORMAL,NONE,0,,,,,,,2
345,516,15/03/14,NORMAL,NONE,0,,,,,,,4
346,517,10/11/15,NORMAL,NONE,0,,,,,,,4
347,517,1/11/14,NORMAL,NONE,0,,,,,,,3
348,518,29/11/11,NORMAL,NONE,0,,,,,,,1
349,519,6/11/14,NORMAL,NONE,0,,,,,,,3
350,520,5/11/14,NORMAL,NONE,0,,,,,,,4
351,521,16/09/12,NORMAL,NONE,0,,,,,,,2
352,522,13/11/14,NORMAL,NONE,0,,,,,,,4
353,523,9/11/12,NORMAL,NONE,0,,,,,,,2
354,524,7/03/15,NORMAL,NONE,0,,,,,,,4
355,525,22/11/15,NORMAL,NONE,0,,,,,,,5
356,525,11/11/14,NORMAL,NONE,0,,,,,,,4
357,526,19/11/13,NORMAL,NONE,0,,,,,,,3
358,528,7/11/11,NORMAL,NONE,0,,,,,,,1
359,529,5/04/13,NORMAL,NONE,0,,,,,,,2
360,531,5/03/13,NORMAL,NONE,0,,,,,,,2
361,532,11/09/12,NORMAL,NONE,0,,,,,,,2
362,535,10/11/12,NORMAL,NONE,0,,,,,,,2
363,537,9/11/11,NORMAL,NONE,0,,,,,,,1
364,538,15/09/12,NORMAL,NONE,0,,,,,,,2
365,539,26/08/15,NORMAL,NONE,0,,,,,,,4
366,540,10/03/15,NORMAL,NONE,0,,,,,,,5
367,541,10/11/12,NORMAL,NONE,0,,,,,,,2
368,542,27/03/13,NORMAL,NONE,0,,,,,,,2
369,543,29/02/12,NORMAL,NONE,0,,,,,,,1
370,545,5/02/12,NORMAL,NONE,0,,,,,,,1
371,546,15/03/15,NORMAL,NONE,0,,,,,,,5
372,547,15/07/13,NORMAL,NONE,0,,,,,,,6
373,549,27/06/16,NORMAL,NONE,0,,,,,,,5
374,549,2/06/15,NORMAL,NONE,0,,,,,,,4
375,550,15/11/12,NORMAL,NONE,0,,,,,,,2
376,554,9/11/14,NORMAL,NONE,0,,,,,,,3
377,555,7/03/15,NORMAL,NONE,0,,,,,,,5
378,557,27/11/15,NORMAL,NONE,0,,,,,,,5
379,557,6/11/14,NORMAL,NONE,0,,,,,,,4
380,558,12/09/12,NORMAL,NONE,0,,,,,,,2
381,559,23/11/15,NORMAL,NONE,0,,,,,,,5
382,559,9/11/14,NORMAL,NONE,0,,,,,,,4
383,560,21/11/12,NORMAL,NONE,0,,,,,,,2
384,561,12/11/14,NORMAL,NONE,0,,,,,,,4
385,563,4/03/13,NORMAL,NONE,0,,,,,,,3
386,566,23/11/12,NORMAL,NONE,0,,,,,,,2
387,567,18/06/15,NORMAL,NONE,0,,,,,,,5
388,568,18/11/14,NORMAL,NONE,0,,,,,,,3
389,569,4/09/14,NORMAL,NONE,0,,,,,,,4
390,570,5/11/12,NORMAL,NONE,0,,,,,,,2
391,573,1/03/13,NORMAL,NONE,0,,,,,,,2
392,575,9/03/16,NORMAL,NONE,0,,,,,,,5
393,575,9/03/15,NORMAL,NONE,0,,,,,,,4
394,578,24/10/12,NORMAL,NONE,0,,,,,,,2
395,579,3/03/13,NORMAL,NONE,0,,,,,,,2
396,580,13/11/12,NORMAL,NONE,0,,,,,,,2
397,582,27/06/16,NORMAL,NONE,0,,,,,,,5
398,582,14/06/15,NORMAL,NONE,0,,,,,,,4
399,584,2/03/13,NORMAL,NONE,0,,,,,,,2
400,585,6/09/11,NORMAL,NONE,0,,,,,,,1
401,586,22/11/15,NORMAL,NONE,0,,,,,,,5
402,586,3/11/14,NORMAL,NONE,0,,,,,,,4
403,588,11/06/14,NORMAL,NONE,0,,,,,,,4
404,589,13/11/14,NORMAL,NONE,0,,,,,,,4
405,591,23/11/15,NORMAL,NONE,0,,,,,,,10
406,591,22/11/14,NORMAL,NONE,0,,,,,,,9
407,592,15/03/14,NORMAL,NONE,0,,,,,,,4
408,593,1/03/13,NORMAL,NONE,0,,,,,,,3
409,595,5/11/12,NORMAL,NONE,0,,,,,,,2
410,596,12/09/12,NORMAL,NONE,0,,,,,,,2
411,602,7/12/12,NORMAL,NONE,0,,,,,,,2
412,604,15/09/12,NORMAL,NONE,0,,,,,,,2
413,605,27/09/13,NORMAL,NONE,0,,,,,,,3
414,606,12/03/14,NORMAL,NONE,0,,,,,,,3
415,610,27/03/13,NORMAL,NONE,0,,,,,,,2
416,611,12/06/16,NORMAL,NONE,0,,,,,,,6
417,611,9/06/15,NORMAL,NONE,0,,,,,,,5
418,612,7/12/12,NORMAL,NONE,0,,,,,,,2
419,615,16/09/12,NORMAL,NONE,0,,,,,,,2
420,616,10/11/12,NORMAL,NONE,0,,,,,,,2
421,618,16/06/13,NORMAL,NONE,0,,,,,,,2
422,621,30/10/12,NORMAL,NONE,0,,,,,,,1
423,622,4/09/14,NORMAL,NONE,0,,,,,,,3
424,622,3/09/15,NORMAL,NONE,0,,,,,,,4
425,623,23/11/12,NORMAL,NONE,0,,,,,,,2
426,624,13/11/12,NORMAL,NONE,0,,,,,,,2
427,627,7/11/11,NORMAL,NONE,0,,,,,,,1
428,628,21/11/11,NORMAL,NONE,0,,,,,,,1
429,629,8/11/12,NORMAL,NONE,0,,,,,,,2
430,630,11/09/12,NORMAL,NONE,0,,,,,,,2
431,635,18/09/12,NORMAL,NONE,0,,,,,,,3
432,638,25/02/13,NORMAL,NONE,0,,,,,,,2
433,639,11/11/14,NORMAL,NONE,0,,,,,,,5
434,640,13/03/14,NORMAL,NONE,0,,,,,,,3
435,641,19/11/12,NORMAL,NONE,0,,,,,,,2
436,642,18/06/13,NORMAL,NONE,0,,,,,,,3
437,643,18/11/14,NORMAL,NONE,0,,,,,,,2
438,644,12/09/12,NORMAL,NONE,0,,,,,,,2
439,645,2/11/12,NORMAL,NONE,0,,,,,,,2
440,650,28/02/13,NORMAL,NONE,0,,,,,,,2
441,651,27/03/13,NORMAL,NONE,0,,,,,,,2
442,653,28/02/13,NORMAL,NONE,0,,,,,,,3
443,654,7/03/13,NORMAL,NONE,0,,,,,,,3
444,655,10/11/12,NORMAL,NONE,0,,,,,,,2
445,657,6/11/12,NORMAL,NONE,0,,,,,,,2
446,658,6/11/12,NORMAL,NONE,0,,,,,,,2
447,663,19/11/15,NORMAL,NONE,0,,,,,,,6
448,663,4/11/14,NORMAL,NONE,0,,,,,,,5
449,664,5/11/12,NORMAL,NONE,0,,,,,,,2
450,665,3/03/14,NORMAL,NONE,0,,,,,,,3
451,666,23/06/15,NORMAL,NONE,0,,,,,,,5
452,666,12/06/16,NORMAL,NONE,0,,,,,,,6
453,669,19/11/12,NORMAL,NONE,0,,,,,,,1
454,671,8/11/12,NORMAL,NONE,0,,,,,,,2
455,672,21/09/13,NORMAL,NONE,0,,,,,,,2
456,674,3/11/12,NORMAL,NONE,0,,,,,,,2
457,675,30/11/12,NORMAL,NONE,0,,,,,,,2
